Altium Designer Pick and Place Locations
H:\UZ_repos\carrier\Project Outputs for UltraZOhm_CarrierBoard\Pick Place\PickPlace_UltraZOhm_CarrierBoard_4v00.csv

========================================================================================================================
File Design Information:

Date:       16.11.20
Time:       13:54
Revision:   0da6881b0d715b603c73a7828b626e0c4c33902c
Variant:    Standard
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C25E","100nF","TopLayer","C_0603(1608)100_L","336.1500","38.1350","360","Capacitor 0603"
"C26A","100nF","TopLayer","C_0603(1608)100_L","217.5630","38.2920","360","Capacitor 0603"
"C26B","100nF","TopLayer","C_0603(1608)100_L","248.0430","38.2920","360","Capacitor 0603"
"C26C","100nF","TopLayer","C_0603(1608)100_L","278.5230","38.2920","360","Capacitor 0603"
"C26D","100nF","TopLayer","C_0603(1608)100_L","309.0030","38.2920","360","Capacitor 0603"
"C26E","100nF","TopLayer","C_0603(1608)100_L","339.4830","38.2920","360","Capacitor 0603"
"C27A","100nF","BottomLayer","C_0603(1608)100_L","199.0088","71.0995","270","Capacitor 0603"
"C27B","100nF","BottomLayer","C_0603(1608)100_L","229.4888","71.0995","270","Capacitor 0603"
"C27C","100nF","BottomLayer","C_0603(1608)100_L","259.9688","71.0995","270","Capacitor 0603"
"C27D","100nF","BottomLayer","C_0603(1608)100_L","290.4488","71.0995","270","Capacitor 0603"
"C27E","100nF","BottomLayer","C_0603(1608)100_L","320.9288","71.0995","270","Capacitor 0603"
"C28A","100nF","BottomLayer","C_0603(1608)100_L","209.7728","74.0475","270","Capacitor 0603"
"C28B","100nF","BottomLayer","C_0603(1608)100_L","240.2528","74.0475","270","Capacitor 0603"
"C28C","100nF","BottomLayer","C_0603(1608)100_L","270.7328","74.0475","270","Capacitor 0603"
"C28D","100nF","BottomLayer","C_0603(1608)100_L","301.2128","74.0475","270","Capacitor 0603"
"C28E","100nF","BottomLayer","C_0603(1608)100_L","331.6928","74.0475","270","Capacitor 0603"
"C29A","100nF","BottomLayer","C_0603(1608)100_L","212.2168","74.0475","270","Capacitor 0603"
"C29B","100nF","BottomLayer","C_0603(1608)100_L","242.6968","74.0475","270","Capacitor 0603"
"C29C","100nF","BottomLayer","C_0603(1608)100_L","273.1768","74.0475","270","Capacitor 0603"
"C29D","100nF","BottomLayer","C_0603(1608)100_L","303.6568","74.0475","270","Capacitor 0603"
"C29E","100nF","BottomLayer","C_0603(1608)100_L","334.1368","74.0475","270","Capacitor 0603"
"C30A","100nF","BottomLayer","C_0603(1608)100_L","218.5668","63.7335","180","Capacitor 0603"
"C30B","100nF","BottomLayer","C_0603(1608)100_L","249.0468","63.7335","180","Capacitor 0603"
"C30C","100nF","BottomLayer","C_0603(1608)100_L","279.5268","63.7335","180","Capacitor 0603"
"C30D","100nF","BottomLayer","C_0603(1608)100_L","310.0068","63.7335","180","Capacitor 0603"
"C30E","100nF","BottomLayer","C_0603(1608)100_L","340.4868","63.7335","180","Capacitor 0603"
"C31A","100nF","BottomLayer","C_0603(1608)100_L","218.0588","56.8755","90","Capacitor 0603"
"C31B","100nF","BottomLayer","C_0603(1608)100_L","248.5388","56.8755","90","Capacitor 0603"
"C31C","100nF","BottomLayer","C_0603(1608)100_L","279.0188","56.8755","90","Capacitor 0603"
"C31D","100nF","BottomLayer","C_0603(1608)100_L","309.4988","56.8755","90","Capacitor 0603"
"C31E","100nF","BottomLayer","C_0603(1608)100_L","339.9788","56.8755","90","Capacitor 0603"
"C32A","100nF","BottomLayer","C_0603(1608)100_L","211.2008","53.8275","90","Capacitor 0603"
"C32B","100nF","BottomLayer","C_0603(1608)100_L","241.6808","53.8275","90","Capacitor 0603"
"C32C","100nF","BottomLayer","C_0603(1608)100_L","272.1608","53.8275","90","Capacitor 0603"
"C32D","100nF","BottomLayer","C_0603(1608)100_L","302.6408","53.8275","90","Capacitor 0603"
"C32E","100nF","BottomLayer","C_0603(1608)100_L","333.1208","53.8275","90","Capacitor 0603"
"C33A","100nF","BottomLayer","C_0603(1608)100_L","207.1368","53.8275","90","Capacitor 0603"
"C33B","100nF","BottomLayer","C_0603(1608)100_L","237.6168","53.8275","90","Capacitor 0603"
"C33C","100nF","BottomLayer","C_0603(1608)100_L","268.0968","53.8275","90","Capacitor 0603"
"C33D","100nF","BottomLayer","C_0603(1608)100_L","298.5768","53.8275","90","Capacitor 0603"
"C33E","100nF","BottomLayer","C_0603(1608)100_L","329.0568","53.8275","90","Capacitor 0603"
"C34A","100nF","TopLayer","C_0603(1608)100_L","141.6644","34.8550","360","Capacitor 0603"
"C34B","100nF","TopLayer","C_0603(1608)100_L","167.6166","34.8554","360","Capacitor 0603"
"C35A","100nF","TopLayer","C_0603(1608)100_L","141.6644","20.9326","360","Capacitor 0603"
"C35B","100nF","TopLayer","C_0603(1608)100_L","167.6166","20.9330","360","Capacitor 0603"
"C38A","100nF","TopLayer","C_0603(1608)100_L","130.7424","35.5916","90","Capacitor 0603"
"C38B","100nF","TopLayer","C_0603(1608)100_L","156.6946","35.5920","90","Capacitor 0603"
"C77","100nF","TopLayer","C_0603(1608)100_L","111.6310","30.7108","90","Capacitor 0603"
"C78","100nF","TopLayer","C_0603(1608)100_L","110.4880","30.7108","270","Capacitor 0603"
"C79","100nF","TopLayer","C_0603(1608)100_L","117.5492","28.0438","270","Capacitor 0603"
"C80","100nF","TopLayer","C_0603(1608)100_L","117.3958","17.9296","270","Capacitor 0603"
"C82","100nF","TopLayer","C_0603(1608)100_L","104.7200","30.5838","90","Capacitor 0603"
"C88","100nF","TopLayer","C_0603(1608)100_L","124.8926","106.6140","270","Capacitor 0603"
"C90","100nF","TopLayer","C_0603(1608)100_L","123.6226","105.6996","270","Capacitor 0603"
"C91","100nF","TopLayer","C_0603(1608)100_L","123.8004","102.4230","90","Capacitor 0603"
"C96","100nF","TopLayer","C_0603(1608)100_L","33.4162","7.9736","270","Capacitor 0603"
"C97","100nF","TopLayer","C_0603(1608)100_L","20.7162","7.9736","90","Capacitor 0603"
"C98","100nF","TopLayer","C_0603(1608)100_L","33.4162","19.1496","270","Capacitor 0603"
"C99","100nF","TopLayer","C_0603(1608)100_L","20.8178","27.0760","90","Capacitor 0603"
"C103","100nF","TopLayer","C_0603(1608)100_L","34.3032","34.6306","360","Capacitor 0603"
"C106A","100nF","TopLayer","C_0603(1608)100_L","19.1104","12.4956","270","Capacitor 0603"
"C106B","100nF","TopLayer","C_0603(1608)100_L","19.1048","16.5096","270","Capacitor 0603"
"C106C","100nF","BottomLayer","C_0603(1608)100_L","19.1048","10.8676","90","Capacitor 0603"
"C106D","100nF","BottomLayer","C_0603(1608)100_L","19.1048","14.9316","90","Capacitor 0603"
"C106E","100nF","TopLayer","C_0603(1608)100_L","19.1048","20.5736","270","Capacitor 0603"
"C106F","100nF","TopLayer","C_0603(1608)100_L","19.1048","24.6376","270","Capacitor 0603"
"C106G","100nF","BottomLayer","C_0603(1608)100_L","19.1048","18.9956","90","Capacitor 0603"
"C106H","100nF","BottomLayer","C_0603(1608)100_L","19.1048","23.0596","90","Capacitor 0603"
"C107","100nF","TopLayer","C_0603(1608)100_L","32.2244","112.9512","180","Capacitor 0603"
